Productos;periodo;Total
A: Productos característicos del turismo;2022;61,483.7
A: Productos característicos del turismo;2021;24,481.7
A: Productos característicos del turismo;2020;15,345.6
A: Productos característicos del turismo;2019;58,853.0
A: Productos característicos del turismo;2018;56,185.2
A: Productos característicos del turismo;2017;53,153.9
A: Productos característicos del turismo;2016;47,704.1
1A: Hoteles y similares;2022;17,406.1
1A: Hoteles y similares;2021;7,168.6
1A: Hoteles y similares;2020;4,004.6
1A: Hoteles y similares;2019;19,430.4
1A: Hoteles y similares;2018;17,852.3
1A: Hoteles y similares;2017;15,792.9
1A: Hoteles y similares;2016;14,177.2
1B: Servicios de alquiler inmobiliario;2022;5,797.7
1B: Servicios de alquiler inmobiliario;2021;2,276.4
1B: Servicios de alquiler inmobiliario;2020;764.9
1B: Servicios de alquiler inmobiliario;2019;5,289.2
1B: Servicios de alquiler inmobiliario;2018;5,124.4
1B: Servicios de alquiler inmobiliario;2017;5,066.9
1B: Servicios de alquiler inmobiliario;2016;4,277.1
2: Servicios de provisión de alimentos y bebidas;2022;10,653.8
2: Servicios de provisión de alimentos y bebidas;2021;4,419.1
2: Servicios de provisión de alimentos y bebidas;2020;2,329.7
2: Servicios de provisión de alimentos y bebidas;2019;10,380.1
2: Servicios de provisión de alimentos y bebidas;2018;10,393.5
2: Servicios de provisión de alimentos y bebidas;2017;10,054.5
2: Servicios de provisión de alimentos y bebidas;2016;9,123.3
3: Servicios de transporte de pasajeros por ferrocarril;2022;937.1
3: Servicios de transporte de pasajeros por ferrocarril;2021;260.8
3: Servicios de transporte de pasajeros por ferrocarril;2020;167.9
3: Servicios de transporte de pasajeros por ferrocarril;2019;600.9
3: Servicios de transporte de pasajeros por ferrocarril;2018;979.2
3: Servicios de transporte de pasajeros por ferrocarril;2017;1,045.4
3: Servicios de transporte de pasajeros por ferrocarril;2016;874.9
4: Servicios de transporte de pasajeros por carretera;2022;1,421.5
4: Servicios de transporte de pasajeros por carretera;2021;674.4
4: Servicios de transporte de pasajeros por carretera;2020;365.7
4: Servicios de transporte de pasajeros por carretera;2019;1,365.2
4: Servicios de transporte de pasajeros por carretera;2018;1,770.9
4: Servicios de transporte de pasajeros por carretera;2017;1,816.7
4: Servicios de transporte de pasajeros por carretera;2016;1,642.0
5: Servicios de transporte de pasajeros por agua;2022;463.3
5: Servicios de transporte de pasajeros por agua;2021;66.7
5: Servicios de transporte de pasajeros por agua;2020;79.6
5: Servicios de transporte de pasajeros por agua;2019;281.2
5: Servicios de transporte de pasajeros por agua;2018;333.1
5: Servicios de transporte de pasajeros por agua;2017;384.6
5: Servicios de transporte de pasajeros por agua;2016;329.6
6: Servicios de transporte aéreo de pasajeros;2022;7,645.2
6: Servicios de transporte aéreo de pasajeros;2021;2,408.0
6: Servicios de transporte aéreo de pasajeros;2020;3,111.8
6: Servicios de transporte aéreo de pasajeros;2019;6,005.6
6: Servicios de transporte aéreo de pasajeros;2018;6,034.5
6: Servicios de transporte aéreo de pasajeros;2017;5,675.3
6: Servicios de transporte aéreo de pasajeros;2016;4,886.9
7: Servicios de alquiler de equipos de transporte;2022;2,283.5
7: Servicios de alquiler de equipos de transporte;2021;1,079.3
7: Servicios de alquiler de equipos de transporte;2020;531.9
7: Servicios de alquiler de equipos de transporte;2019;1,456.6
7: Servicios de alquiler de equipos de transporte;2018;695.1
7: Servicios de alquiler de equipos de transporte;2017;684.0
7: Servicios de alquiler de equipos de transporte;2016;666.0
8: Agencias de viajes y otros servicios de reserva;2022;1,357.2
8: Agencias de viajes y otros servicios de reserva;2021;419.8
8: Agencias de viajes y otros servicios de reserva;2020;538.4
8: Agencias de viajes y otros servicios de reserva;2019;1,608.5
8: Agencias de viajes y otros servicios de reserva;2018;1,452.8
8: Agencias de viajes y otros servicios de reserva;2017;1,882.9
8: Agencias de viajes y otros servicios de reserva;2016;1,819.9
9: Servicios culturales;2022;7,572.5
9: Servicios culturales;2021;2,760.5
9: Servicios culturales;2020;1,658.2
9: Servicios culturales;2019;5,732.1
9: Servicios culturales;2018;5,619.4
9: Servicios culturales;2017;5,274.5
9: Servicios culturales;2016;4,570.7
10: Servicios deportivos y recreativos;2022;5,945.7
10: Servicios deportivos y recreativos;2021;2,948.2
10: Servicios deportivos y recreativos;2020;1,793.0
10: Servicios deportivos y recreativos;2019;6,703.1
10: Servicios deportivos y recreativos;2018;5,929.8
10: Servicios deportivos y recreativos;2017;5,476.3
10: Servicios deportivos y recreativos;2016;5,336.5
B: Otros productos no característicos;2022;22,931.6
B: Otros productos no característicos;2021;14,047.8
B: Otros productos no característicos;2020;10,555.8
B: Otros productos no característicos;2019;23,872.4
B: Otros productos no característicos;2018;22,881.3
B: Otros productos no característicos;2017;23,035.5
B: Otros productos no característicos;2016;20,966.0
TOTAL;2022;84,415.3
TOTAL;2021;38,529.5
TOTAL;2020;25,901.4
TOTAL;2019;82,725.4
TOTAL;2018;79,066.5
TOTAL;2017;76,189.4
TOTAL;2016;68,670.1
